anoinicio	anograd	pivot-grouping	count
2008	2015	0	1
2009	2012	0	1
2009	2013	0	3
2009	2014	0	2
2010	2013	0	1
2010	2014	0	1
2011	2013	0	2
2011	2014	0	4
2011	2016	0	1
2012	2013	0	2
2012	2014	0	1
2012	2015	0	1
2012	2016	0	1
2012	2018	0	1
2013	2015	0	1
2013	2016	0	1
2013	2018	0	2
2015	2019	0	3
2015	2020	0	2
2015	2022	0	1
2015	2023	0	1
2016	2016	0	1
2016	2020	0	4
2016	2021	0	2
2017	2021	0	1
2017	2022	0	6
2017	2023	0	1
2018	2022	0	4
2018	2023	0	3
2019	2022	0	5
2019	2023	0	1
2019	2024	0	1
2020	2023	0	3
2020	2024	0	4
2021	2024	0	1
	2012	1	1
	2013	1	8
	2014	1	8
	2015	1	3
	2016	1	4
	2018	1	3
	2019	1	3
	2020	1	6
	2021	1	3
	2022	1	16
	2023	1	9
	2024	1	6
2008		2	1
2009		2	6
2010		2	2
2011		2	7
2012		2	6
2013		2	4
2015		2	7
2016		2	7
2017		2	8
2018		2	7
2019		2	7
2020		2	7
2021		2	1
		3	70