resumo	curso	aprovado	Classificação	nps
Assiduidade	CIENCIAS BIOLOGICAS	True	Excelente	85.0
Assiduidade	CIENCIAS BIOLOGICAS	False	Excelente	90.0
Coerência do método avaliativo	CIENCIAS BIOLOGICAS	True	Bom	69.0
Coerência do método avaliativo	CIENCIAS BIOLOGICAS	False	Bom	66.0
Cortesia e Ética	CIENCIAS BIOLOGICAS	False	Excelente	76.0
Cortesia e Ética	CIENCIAS BIOLOGICAS	True	Excelente	80.0
Cumprimento do plano de ensino	CIENCIAS BIOLOGICAS	True	Excelente	82.0
Cumprimento do plano de ensino	CIENCIAS BIOLOGICAS	False	Excelente	79.0
Domínio e apresentação	CIENCIAS BIOLOGICAS	True	Bom	74.0
Domínio e apresentação	CIENCIAS BIOLOGICAS	False	Excelente	77.0
Estímulo ao aprendizado	CIENCIAS BIOLOGICAS	True	Bom	70.0
Estímulo ao aprendizado	CIENCIAS BIOLOGICAS	False	Bom	65.0
Incentivo a Projetos	CIENCIAS BIOLOGICAS	True	Bom	57.0
Incentivo a Projetos	CIENCIAS BIOLOGICAS	False	Bom	60.0
Promoção do raciocínio crítico/reflexivo	CIENCIAS BIOLOGICAS	True	Bom	72.0
Promoção do raciocínio crítico/reflexivo	CIENCIAS BIOLOGICAS	False	Bom	74.0
Relacionamento conteúdo-profissão	CIENCIAS BIOLOGICAS	True	Bom	70.0
Relacionamento conteúdo-profissão	CIENCIAS BIOLOGICAS	False	Bom	73.0