ano	avg	1stdev	max
2012	9.206896551724137	11.771635031970629	14
2013	9.724137931034482	11.739536440855511	14
2014	11.0	14.144660377352201	16
2015	9.722222222222221	11.167734647917522	12
2016	10.708333333333334	12.93467500123209	17
2017	11.448275862068966	15.375073336686002	22
2018	10.25	13.692988043352265	18
2019	9.0	12.43605174770451	19
2020	10.478260869565217	13.17075551398105	19
2021	9.969696969696969	13.23090002420279	19
2022	9.1875	10.757482085885059	13
2023	10.173913043478262	14.681415715719805	24
2024	9.657142857142857	11.898862313820917	16