sg_uf_candidato	nu_ano	count
GO	2019	86
GO	2020	55
GO	2021	46
GO	2022	38
GO	2023	29
GO	2024	31
SP	2019	28
SP	2020	22
SP	2021	14
SP	2022	7
SP	2023	2
SP	2024	4
DF	2019	7
DF	2020	11
DF	2021	7
DF	2022	5
DF	2023	3
DF	2024	1
PA	2019	5
PA	2020	6
PA	2021	3
PA	2022	0
PA	2023	3
PA	2024	2
TO	2019	4
TO	2020	2
TO	2021	2
TO	2022	1
TO	2023	1
TO	2024	0
MT	2019	2
MT	2020	3
MT	2021	3
MT	2022	1
MT	2023	0
MT	2024	1
MA	2019	3
MA	2020	0
MA	2021	1
MA	2022	2
MA	2023	1
MA	2024	1
MG	2019	2
MG	2020	3
MG	2021	1
MG	2022	1
MG	2023	0
MG	2024	0